RegNo,HerdCode,DrayDate
3.64099E+14,,1390/08/05
3.64099E+14,,1388/09/24
3.64099E+14,,1390/06/04
3.64099E+14,,1388/11/01
3.64099E+14,,1390/01/22
3.64099E+14,,1391/01/19
3.64099E+14,,1392/06/01
3.64099E+14,,1393/09/10
3.64099E+14,,1389/06/03
3.64099E+14,,1390/11/03
3.64099E+14,,1388/10/02
3.64099E+14,,1388/12/01
3.64099E+14,,1389/11/12
3.64099E+14,,1391/01/19
3.64099E+14,,1392/03/24
3.64099E+14,,1393/06/05
3.64099E+14,,1394/09/20
3.64099E+14,,1396/01/07
3.64099E+14,,1388/12/10
3.64099E+14,,1388/11/20
3.64099E+14,,1389/10/27
3.64099E+14,,1390/10/23
3.64099E+14,,1392/01/01
3.64099E+14,,1393/05/24
3.64099E+14,,1389/08/01
3.64099E+14,,1388/11/20
3.64099E+14,,1390/02/20
3.64099E+14,,1391/04/22
3.64099E+14,,1392/03/24
3.64099E+14,,1393/03/19
3.64099E+14,,1394/02/31
3.64099E+14,,1389/01/28
3.64099E+14,,1389/12/01
3.64099E+14,,1389/01/28
3.64099E+14,,1389/03/31
3.64099E+14,,1390/03/20
3.64099E+14,,1391/03/28
3.64099E+14,,1392/03/03
3.64099E+14,,1393/07/04
3.64099E+14,,1389/06/27
3.64099E+14,,1390/06/10
3.64099E+14,,1391/07/30
3.64099E+14,,1392/07/02
3.64099E+14,,1393/12/05
3.64099E+14,,1389/07/03
3.64099E+14,,1390/07/02
3.64099E+14,,1391/06/11
3.64099E+14,,1393/05/19
3.64099E+14,,1389/04/01
3.64099E+14,,1390/08/25
3.64099E+14,,1391/07/14
3.64099E+14,,1389/09/04
3.64099E+14,,1390/08/25
3.64099E+14,,1391/08/20
3.64099E+14,,1392/07/12
3.64099E+14,,1389/06/10
3.64099E+14,,1390/06/18
3.64099E+14,,1391/06/06
3.64099E+14,,1392/08/24
3.64099E+14,,1393/09/21
3.64099E+14,,1389/06/21
3.64099E+14,,1391/10/03
3.64099E+14,,1392/08/24
3.64099E+14,,1389/07/10
3.64099E+14,,1390/08/25
3.64099E+14,,1391/08/13
3.64099E+14,,1392/10/01
3.64099E+14,,1389/11/03
3.64099E+14,,1391/06/01
3.64099E+14,,1390/01/20
3.64099E+14,,1391/03/13
3.64099E+14,,1390/01/20
3.64099E+14,,1390/01/20
3.64099E+14,,1391/03/13
3.64099E+14,,1392/04/15
3.64099E+14,,1393/05/24
3.64099E+14,,1394/06/30
3.64099E+14,,1395/11/18
3.64099E+14,,1397/02/16
3.64099E+14,,1390/02/18
3.64099E+14,,1390/02/31
3.64099E+14,,1391/04/22
3.64099E+14,,1390/01/20
3.64099E+14,,1391/09/02
3.64099E+14,,1390/04/30
3.64099E+14,,1391/05/14
3.64099E+14,,1392/06/01
3.64099E+14,,1393/05/24
3.64099E+14,,1394/04/28
3.64099E+14,,1395/05/27
3.64099E+14,,1396/05/15
3.64099E+14,,1397/08/01
3.64099E+14,,1390/07/18
3.64099E+14,,1391/11/20
3.64099E+14,,1392/11/03
3.64099E+14,,1396/01/21
3.64099E+14,,1389/12/22
3.64099E+14,,1391/03/13
3.64099E+14,,1392/04/20
3.64099E+14,,1390/03/15
3.64099E+14,,1391/03/13
3.64099E+14,,1390/01/29
3.64099E+14,,1390/03/10
3.64099E+14,,1391/07/14
3.64099E+14,,1392/11/03
3.64099E+14,,1390/07/02
3.64099E+14,,1391/07/02
3.64099E+14,,1393/01/25
3.64099E+14,,1394/03/01
3.64099E+14,,1395/06/01
3.64099E+14,,1390/07/02
3.64099E+14,,1390/05/20
3.64099E+14,,1392/01/01
3.64099E+14,,1393/06/16
3.64099E+14,,1390/11/15
3.64099E+14,,1390/09/15
3.64099E+14,,1391/08/25
3.64099E+14,,1392/10/13
3.64099E+14,,1394/04/02
3.64099E+14,,1395/08/08
3.64099E+14,,1391/01/15
3.64099E+14,,1391/07/14
3.64099E+14,,1392/08/03
3.64099E+14,,1393/12/05
3.64099E+14,,1391/10/15
3.64099E+14,,1392/12/04
3.64099E+14,,1390/11/15
3.64099E+14,,1390/11/15
3.64099E+14,,1391/03/20
3.64099E+14,,1392/03/24
3.64099E+14,,1393/04/31
3.64099E+14,,1391/10/26
3.64099E+14,,1392/11/03
3.64099E+14,,1391/10/03
3.64099E+14,,1391/10/03
