HerdCode,RegNo,Jalali,Fat,Protein,FreezingPointDepression,Cells
,3.64009E+14,1402/10/11,3.93,3.21,,13
,3.64009E+14,1401/06/07,4.25,3.39,,90
,3.64009E+14,1402/12/16,4.87,3.62,,21
,3.64009E+14,1400/03/04,3.4,2.45,,112
,3.64009E+14,1401/03/08,4.06,2.51,,30
,3.64009E+14,1402/11/15,5,2.88,,
,3.64099E+14,1398/11/03,4.66,3.53,,16
,3.64009E+14,1402/11/15,3.3,2.93,,
,3.64009E+14,1401/11/09,4.96,2.83,,494
,3.64009E+14,1402/05/13,3.91,2.35,,12
,3.64009E+14,1403/05/15,2.8,2.48,,16
,3.64009E+14,1399/04/10,3.4,3.06,,21
,3.64009E+14,1403/04/11,4.04,3.34,,
,3.64099E+14,1400/05/02,2.88,3.34,,
,3.64009E+14,1402/09/11,5,2.86,,33
,3.64009E+14,1402/01/09,3.26,3.24,,12613
,3.64009E+14,1401/08/08,4.21,3.9,,139
,3.64009E+14,1399/07/02,3.02,3.23,,767
,3.64009E+14,1399/06/02,2.88,3.03,,36
,3.64099E+14,1400/12/02,2.88,2.58,,21
,3.64009E+14,1401/10/07,5.65,3.75,,67
,3.64009E+14,1402/10/11,4.51,3.45,,11
,3.64009E+14,1402/04/11,4.39,2.8,,1325
,3.64009E+14,1403/02/07,3.46,3.06,,55
,3.64009E+14,1399/02/01,4.39,2.8,,21
,3.64009E+14,1400/12/02,3.48,3.11,,18
,3.64009E+14,1400/11/05,3.47,2.94,,21
,3.64009E+14,1401/04/04,3.71,3.11,,1224
,3.64099E+14,1400/02/01,3.74,2.5,,
,3.64009E+14,1399/07/02,3.38,2.66,,45
,3.64009E+14,1399/01/08,3.82,2.9,,99
,3.64099E+14,1399/10/05,3.13,3.53,,101
,3.64099E+14,1401/12/10,4.81,2.78,,245
,3.64099E+14,1400/01/03,3.93,2.99,,335
,3.64099E+14,1398/10/03,5.62,3.59,,405
,3.64099E+14,1401/04/04,3.15,3.2,,169
,3.64009E+14,1402/09/11,5,3.03,,50
,3.64009E+14,1403/04/11,3.99,3.46,,
,3.64009E+14,1399/01/08,2.5,2.86,,47
,3.64009E+14,1401/01/06,4.23,3.21,,273
