RegNo,HerdCode,CalvePeriod,RecordDate,SumMilk,FatPercent,ProPercent,SomaticCell
3.64009E+14,,2,1402/02/12,47.16,4.94,2.47,14
3.64009E+14,,2,1402/03/12,48.83,3.32,2.49,957
3.64009E+14,,2,1402/04/11,42.76,3.19,1.99,24
3.64009E+14,,2,1402/05/13,42.28,3.63,1.98,12
3.64009E+14,,2,1402/06/15,46.64,3.46,3.11,14
3.64009E+14,,2,1402/07/11,43.78,5,2.82,185
3.64009E+14,,2,1402/08/13,44.59,0,0,0
3.64009E+14,,2,1402/09/11,41.03,4.77,3.01,52
3.64009E+14,,2,1402/10/11,40.12,4.25,3.71,12
3.64009E+14,,2,1402/11/15,34.98,4.22,3.16,0
3.64009E+14,,2,1402/12/16,32.23,5,3,24
3.64009E+14,,3,1403/03/11,39.79,0,0,0
3.64009E+14,,3,1403/04/11,46.9,5,2.73,0
3.64009E+14,,3,1403/05/15,49.35,4.93,2.9,13
3.64009E+14,,3,1403/06/18,47.81,5,3.12,14
3.64009E+14,,3,1403/07/22,52.83,4.17,3.09,90
3.64009E+14,,3,1403/08/24,42.07,5,3.21,155
3.64009E+14,,1,1401/01/06,35.5,4.47,2.52,721
3.64009E+14,,1,1401/02/04,36.5,3.87,2.2,350
3.64009E+14,,1,1401/03/08,36,3.29,2.17,98
3.64009E+14,,1,1401/04/04,38,3.56,2.97,43
3.64009E+14,,1,1401/05/04,32,1.91,3.14,332
3.64009E+14,,1,1401/06/07,28.63,2.52,2.81,39
3.64009E+14,,1,1401/07/07,37.82,5.7,3.6,35
3.64009E+14,,1,1401/08/08,32.21,4.88,3.88,34
3.64009E+14,,1,1401/09/08,35.18,4.33,3.92,34
3.64009E+14,,1,1401/10/07,31.84,4.52,3.86,67
3.64009E+14,,1,1401/11/09,34.43,5.06,3.58,32
3.64009E+14,,1,1401/12/10,36.35,4.54,2.45,44
3.64009E+14,,1,1402/01/09,33.58,3.64,3.42,279
3.64009E+14,,1,1402/02/12,34.26,5.21,3.03,12
3.64009E+14,,1,1402/03/12,32.57,5,2.46,1686
3.64009E+14,,1,1402/04/11,31.15,4.9,2.76,15
3.64009E+14,,2,1402/08/13,58.17,0,0,0
3.64009E+14,,2,1402/09/11,68.01,5,3.24,177
3.64009E+14,,2,1402/10/11,68.52,4.52,2.93,11
3.64009E+14,,2,1402/11/15,62.14,2.91,2.83,0
3.64009E+14,,2,1402/12/16,55.02,4.99,3.25,119
3.64009E+14,,2,1403/02/07,56.81,4.78,3.04,195
3.64009E+14,,2,1403/03/11,51.62,0,0,0
3.64009E+14,,2,1403/04/11,50.18,5,3.2,0
